START TIME: Wed Dec 17 02:44:18 CET 2025
[sbatch-master] running on nid007642
[sbatch-master] SLURM_NODELIST: nid007642
[sbatch-master] SLURM_NNODES: 1
[sbatch-master] SLURM_NODEID: 0
[sbatch-master] define some env vars that will be passed to the compute nodes
[sbatch-master] execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid007642 noderank=0 localrank=0
2025-12-17 02:44:33,906 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc-2/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, checkpoint_frequency=100, checkpoint_save_path=None, checkpoint_load_path=None, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, tp_size=1)
Setting device to local rank: 0
[Rank 0] World Size: 1, DP: 0 / 1, TP: 0 / 1
2025-12-17 02:44:35,091 - root - INFO - Setting up DataLoaders...
2025-12-17 02:44:38,243 - root - INFO - Setting up Model...
2025-12-17 02:44:40,250 - root - INFO - Starting training!
2025-12-17 02:46:22,398 - root - INFO - Step: 230 | Loss (Avg): 7.85 | Reserved Memory 86.81 GB  | Tokens per second: 4660.54 | Training tokens per second (%): 38.47 | MFU (%): 22.77 | TFLOP/s/GPU: 225.20
2025-12-17 02:46:24,624 - root - INFO - Step: 235 | Loss (Avg): 7.10 | Reserved Memory 86.81 GB  | Tokens per second: 4601.11 | Training tokens per second (%): 52.96 | MFU (%): 22.48 | TFLOP/s/GPU: 222.33
2025-12-17 02:46:26,826 - root - INFO - Step: 240 | Loss (Avg): 7.00 | Reserved Memory 86.81 GB  | Tokens per second: 4650.40 | Training tokens per second (%): 37.87 | MFU (%): 22.72 | TFLOP/s/GPU: 224.71
2025-12-17 02:46:29,049 - root - INFO - Step: 245 | Loss (Avg): 7.31 | Reserved Memory 86.81 GB  | Tokens per second: 4607.01 | Training tokens per second (%): 62.21 | MFU (%): 22.51 | TFLOP/s/GPU: 222.61
2025-12-17 02:46:31,234 - root - INFO - Step: 250 | Loss (Avg): 6.69 | Reserved Memory 86.81 GB  | Tokens per second: 4688.21 | Training tokens per second (%): 35.95 | MFU (%): 22.91 | TFLOP/s/GPU: 226.53
2025-12-17 02:46:33,410 - root - INFO - Step: 255 | Loss (Avg): 7.59 | Reserved Memory 86.81 GB  | Tokens per second: 4706.80 | Training tokens per second (%): 31.51 | MFU (%): 23.00 | TFLOP/s/GPU: 227.43
2025-12-17 02:46:35,597 - root - INFO - Step: 260 | Loss (Avg): 7.92 | Reserved Memory 86.81 GB  | Tokens per second: 4682.81 | Training tokens per second (%): 31.19 | MFU (%): 22.88 | TFLOP/s/GPU: 226.27
2025-12-17 02:46:37,778 - root - INFO - Step: 265 | Loss (Avg): 7.84 | Reserved Memory 86.81 GB  | Tokens per second: 4695.36 | Training tokens per second (%): 29.35 | MFU (%): 22.94 | TFLOP/s/GPU: 226.88
2025-12-17 02:46:39,976 - root - INFO - Step: 270 | Loss (Avg): 7.50 | Reserved Memory 86.81 GB  | Tokens per second: 4659.16 | Training tokens per second (%): 33.01 | MFU (%): 22.76 | TFLOP/s/GPU: 225.13
2025-12-17 02:46:42,153 - root - INFO - Step: 275 | Loss (Avg): 7.80 | Reserved Memory 86.81 GB  | Tokens per second: 4705.02 | Training tokens per second (%): 27.96 | MFU (%): 22.99 | TFLOP/s/GPU: 227.35
2025-12-17 02:46:44,307 - root - INFO - Step: 280 | Loss (Avg): 6.84 | Reserved Memory 86.81 GB  | Tokens per second: 4755.79 | Training tokens per second (%): 22.23 | MFU (%): 23.24 | TFLOP/s/GPU: 229.80
2025-12-17 02:46:46,499 - root - INFO - Step: 285 | Loss (Avg): 6.76 | Reserved Memory 86.81 GB  | Tokens per second: 4671.10 | Training tokens per second (%): 40.03 | MFU (%): 22.82 | TFLOP/s/GPU: 225.71
2025-12-17 02:46:48,714 - root - INFO - Step: 290 | Loss (Avg): 7.11 | Reserved Memory 86.81 GB  | Tokens per second: 4623.59 | Training tokens per second (%): 55.14 | MFU (%): 22.59 | TFLOP/s/GPU: 223.41
2025-12-17 02:46:50,903 - root - INFO - Step: 295 | Loss (Avg): 7.18 | Reserved Memory 86.81 GB  | Tokens per second: 4680.69 | Training tokens per second (%): 32.17 | MFU (%): 22.87 | TFLOP/s/GPU: 226.17
2025-12-17 02:46:53,093 - root - INFO - Step: 300 | Loss (Avg): 6.96 | Reserved Memory 86.81 GB  | Tokens per second: 4676.57 | Training tokens per second (%): 28.39 | MFU (%): 22.85 | TFLOP/s/GPU: 225.97
2025-12-17 02:46:55,292 - root - INFO - Step: 305 | Loss (Avg): 7.22 | Reserved Memory 86.81 GB  | Tokens per second: 4656.10 | Training tokens per second (%): 42.32 | MFU (%): 22.75 | TFLOP/s/GPU: 224.98
2025-12-17 02:46:57,496 - root - INFO - Step: 310 | Loss (Avg): 6.91 | Reserved Memory 86.81 GB  | Tokens per second: 4647.16 | Training tokens per second (%): 41.47 | MFU (%): 22.70 | TFLOP/s/GPU: 224.55
2025-12-17 02:46:59,682 - root - INFO - Step: 315 | Loss (Avg): 7.08 | Reserved Memory 86.81 GB  | Tokens per second: 4686.37 | Training tokens per second (%): 25.78 | MFU (%): 22.90 | TFLOP/s/GPU: 226.45
2025-12-17 02:47:01,886 - root - INFO - Step: 320 | Loss (Avg): 6.85 | Reserved Memory 86.81 GB  | Tokens per second: 4647.45 | Training tokens per second (%): 46.13 | MFU (%): 22.71 | TFLOP/s/GPU: 224.56
2025-12-17 02:47:04,068 - root - INFO - Step: 325 | Loss (Avg): 7.54 | Reserved Memory 86.81 GB  | Tokens per second: 4694.00 | Training tokens per second (%): 23.73 | MFU (%): 22.93 | TFLOP/s/GPU: 226.81
2025-12-17 02:47:06,293 - root - INFO - Step: 330 | Loss (Avg): 7.13 | Reserved Memory 86.81 GB  | Tokens per second: 4602.10 | Training tokens per second (%): 63.42 | MFU (%): 22.48 | TFLOP/s/GPU: 222.37
2025-12-17 02:47:08,483 - root - INFO - Step: 335 | Loss (Avg): 7.47 | Reserved Memory 86.81 GB  | Tokens per second: 4678.12 | Training tokens per second (%): 34.22 | MFU (%): 22.86 | TFLOP/s/GPU: 226.05
